session_id,target
1,0.002216463656889841
2,2.5194547214252896e-09
3,6.1624015364577016e-09
4,1.322678784829046e-08
5,2.728900407562008e-05
6,0.0001511665292206191
7,0.00044232006316226763
8,0.00010125549020004496
9,0.000775161154022602
10,0.10553081460834449
11,2.3796956498559062e-05
12,9.55596766549555e-05
13,0.00028590314753608573
14,0.35885675947307744
15,3.47079628214405e-05
16,0.0038316962581240056
17,0.015329779153289263
18,2.8360088390206436e-05
19,0.0007844185462329252
20,1.1896868386968854e-07
21,0.0644970440889453
22,6.365497130818413e-08
23,2.9119364179022686e-05
24,0.00033660041557630465
25,0.07089583021280334
26,2.2708031128079023e-09
27,0.0005331991383717985
28,2.133766489535059e-07
29,0.014061303519571687
30,5.522635099535479e-05
31,0.014003045051197418
32,0.04538300960508769
33,0.0005513612839553266
34,6.79041645822211e-08
35,0.014340512861196347
36,0.0003322136269683746
37,6.749123749109919e-09
38,8.112487470582652e-09
39,5.522635099535479e-05
40,2.538773320234702e-05
41,0.00039608760936691217
42,0.0012788778818857546
43,1.6094318707147092e-06
44,1.3985252291015264e-05
45,0.2397933956179564
46,5.2872644740522245e-06
47,0.008967211654028641
48,0.0006104397660229568
49,2.4474884108552806e-05
50,7.6368969281882e-06
51,6.467311141823973e-08
52,5.870811190068326e-06
53,0.037300710603731996
54,5.789419795588929e-05
55,5.0847586470098125e-06
56,0.0018520952512732119
57,7.750003670276302e-07
58,1.1018869845048297e-05
59,6.987863367129885e-06
60,5.254895705069858e-06
61,6.0303503406765936e-06
62,0.001277966958023595
63,6.476351732568126e-06
64,2.8506112368697746e-05
65,3.1625833336232337e-06
66,6.466495326207189e-08
67,0.0001803710804251209
68,0.000143186424974812
69,0.09112427650896372
70,0.00010744751394147823
71,0.00015942344234326662
72,6.987863367129885e-06
73,0.030053220963613958
74,2.5194547214252896e-09
75,3.198889238429129e-05
76,0.00032151419162706704
77,0.0001342428479844315
78,0.0014201845839725083
79,5.748804747985741e-06
80,0.00012344961354680316
81,1.7959607994868575e-05
82,2.907726647374593e-05
83,2.4545718472552822e-08
84,0.2585135827152617
85,9.331874956886089e-06
86,2.9317771787454856e-07
87,0.0010454324563171726
88,0.0006452299760473077
89,0.0002363229892425011
90,0.01748314913056018
91,0.00011240360442979078
92,8.399974086411518e-06
93,0.03333922323650944
94,0.000772409459209632
95,0.03980286125587069
96,1.6260773922802486e-08
97,8.6447260850925e-05
98,5.2746539777396574e-05
99,1.6654770096664653e-05
100,8.741193640457888e-05
101,0.0004354053921763696
102,0.07214022960872633
103,0.0022725396356997464
104,0.0021051808093833823
105,2.4793160042922795e-06
106,0.00024177970365700844
107,0.00027884005830380485
108,1.676568994044029e-05
109,1.4890679682881986e-05
110,5.581175455641333e-05
111,0.0001469896565586663
112,2.1284922257299975e-07
113,0.016282938173088755
114,5.968529851287279e-06
115,0.00011461510469326995
116,0.00089300415730445
117,0.00123943127779581
118,0.0041119687993526185
119,0.010955734938245601
